Time,Event,Player.Color,Particle.Type,WhiteHole.Position.X,WhiteHole.Position.Y,Particle.Count,Planet.Id,Planet.Core,Planet.Position.X,Planet.Position.Y,Asteroid.Id,Asteroid.Position.X,Asteroid.Position.Y,Trial Id,Particle.1.Type,Particle.2.Type,WhiteHole.1.Position.X,WhiteHole.1.Position.Y,WhiteHole.2.Position.X,WhiteHole.2.Position.Y,Star.Id,Star.Orbit.Count,Star.Position.X,Star.Position.Y,Planet.Count,BlackHole.Id,BlackHole.Position.X,BlackHole.Position.Y,Object.Id
2020/03/11 09:35:37.0271,WhiteHole.SinglePlayer.Touch,Red Player,Metal,"86,16947","42,20452",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:35:39.4433,WhiteHole.SinglePlayer.Touch,Blue Player,Darkness,"54,21377","69,55106",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:35:40.5943,WhiteHole.SinglePlayer.Exit,Red Player,Metal,"86,16947","42,20452",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:35:42.9355,WhiteHole.SinglePlayer.Trigger,Blue Player,Darkness,"54,21377","69,55106",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:35:44.6015,Planet.Creation,Red Player,[Darkness],,,1.0,Planet1(Clone)-5672,Comet,"55,15384","30,65977",,,,1,,,,,,,,,,,,,,,
2020/03/11 09:35:48.4438,WhiteHole.SinglePlayer.Touch,Blue Player,Water,"17,74074","56,95272",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:35:48.6018,Planet.SinglePlayer.Exit,Red Player,,,,,Planet1(Clone)-5672,,"55,15384","30,65977",,,,1,,,,,,,,,,,,,,,
2020/03/11 09:35:50.5939,WhiteHole.SinglePlayer.Exit,Blue Player,Water,"17,74074","56,95272",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:35:50.8599,WhiteHole.SinglePlayer.Touch,Blue Player,Water,"17,74074","56,95272",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:35:54.1601,WhiteHole.SinglePlayer.Exit,Blue Player,Water,"17,74074","56,95272",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:14.0192,Planet.SinglePlayer.Exit,Red Player,,,,,Planet1(Clone)-5672,,"55,15384","30,65977",,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:22.8457,WhiteHole.SinglePlayer.Touch,Red Player,Metal,"86,16947","42,20452",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:22.8797,WhiteHole.SinglePlayer.Exit,Red Player,Metal,"86,16947","42,20452",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:31.1692,Planet.SinglePlayer.Exit,Red Player,,,,,Planet1(Clone)-5672,,"55,15384","30,65977",,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:31.8973,WhiteHole.SinglePlayer.Touch,Red Player,Air,"42,41521","14,80808",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:35.3875,WhiteHole.SinglePlayer.Trigger,Red Player,Air,"42,41521","14,80808",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:37.6196,Planet.SinglePlayer.Exit,Blue Player,,,,,Planet1(Clone)-5672,,"55,15384","30,65977",,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:41.9808,WhiteHole.SinglePlayer.Touch,Blue Player,Darkness,"26,47401","34,81686",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:45.4880,WhiteHole.SinglePlayer.Trigger,Blue Player,Darkness,"26,47401","34,81686",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:47.0391,Planet.SinglePlayer.Connection,Red Player,,,,,Planet1(Clone)-5672,,"57,09988","32,79856",,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:47.7242,Planet.SinglePlayer.Exit,Red Player,,,,,Planet1(Clone)-5672,,"55,15384","30,65977",,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:48.9312,Planet.Creation,Blue Player,[Air],,,1.0,Planet1(Clone)-6336,Comet,"21,6676","46,35846",,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:49.1152,WhiteHole.SinglePlayer.Touch,Red Player,Metal,"86,16947","42,20452",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:49.3983,WhiteHole.SinglePlayer.Touch,Blue Player,Water,"17,74074","56,95272",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:50.7153,WhiteHole.SinglePlayer.Exit,Blue Player,Water,"17,74074","56,95272",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:50.9153,WhiteHole.SinglePlayer.Exit,Red Player,Metal,"86,16947","42,20452",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:53.6065,Planet.SinglePlayer.Exit,Blue Player,,,,,Planet1(Clone)-6336,,"21,6676","46,35846",,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:53.7495,Planet.Creation,Red Player,[Darkness],,,1.0,Planet1(Clone)-6388,Meteoroid,"48,58277","46,16808",,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:56.8707,Planet.SinglePlayer.Exit,Red Player,,,,,Planet1(Clone)-6388,,"48,58277","46,16808",,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:57.0577,Planet.SinglePlayer.Exit,Blue Player,,,,,Planet1(Clone)-6336,,"21,6676","46,35846",,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:58.9818,WhiteHole.SinglePlayer.Touch,Blue Player,Water,"17,74074","56,95272",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:59.3488,WhiteHole.SinglePlayer.Exit,Blue Player,Water,"17,74074","56,95272",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:36:59.8318,WhiteHole.SinglePlayer.Touch,Blue Player,Water,"17,74074","56,95272",,,,,,,,,1,,,,,,,,,,,,,,,
2020/03/11 09:37:01.4049,Planet.SinglePlayer.Exit,Blue Player,,,,,Planet1(Clone)-6336,,"21,6676","46,35846",,,,1,,,,,,,,,,,,,,,
2020/03/11 09:37:02.2480,WhiteHole.SinglePlayer.Exit,Blue Player,Water,"17,74074","56,95272",,,,,,,,,1,,,,,,,,,,,,,,,
