PlayTime,Trial,Position.X,Position.Y,WhiteHole.BluePlayer.Touch,WhiteHole.RedPlayer.Touch,WhiteHole.BluePlayer.Trigger,WhiteHole.RedPlayer.Trigger,Planet.BluePlayer.Creation,Planet.RedPlayer.Creation,WhiteHole.MultiPlayer.Trigger,Star.Creation,BlackHole.Creation
2020-03-11 11:48:02.242200,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11 11:48:06.486500,10,73,54,1,0,0,0,0,0,0,0,0
2020-03-11 11:48:07.569500,10,73,54,2,0,0,0,0,0,0,0,0
2020-03-11 11:48:11.063700,10,73,54,2,0,1,0,0,0,0,0,0
2020-03-11 11:48:18.453200,10,43,87,3,0,1,0,0,0,0,0,0
2020-03-11 11:48:21.944400,10,43,87,3,0,2,0,0,0,0,0,0
2020-03-11 11:48:23.437400,10,16,43,3,1,2,0,0,0,0,0,0
2020-03-11 11:48:26.929600,10,16,43,3,1,2,1,0,0,0,0,0
2020-03-11 11:48:30.133800,10,45,53,3,1,2,1,1,0,0,0,0
2020-03-11 11:48:32.374000,10,52,35,3,1,2,1,1,1,0,0,0
2020-03-11 11:48:32.377000,10,150,150,3,1,2,1,1,2,0,0,0
2020-03-11 11:48:38.238300,10,55,20,3,2,2,1,1,2,0,0,0
2020-03-11 11:48:40.022400,10,55,20,3,3,2,1,1,2,0,0,0
2020-03-11 11:48:42.221500,10,73,54,4,3,2,1,1,2,0,0,0
2020-03-11 11:48:49.923000,10,43,87,4,4,2,1,1,2,0,0,0
2020-03-11 11:49:00.739600,10,73,54,5,4,2,1,1,2,0,0,0
2020-03-11 11:49:01.056600,10,73,54,6,4,2,1,1,2,0,0,0
2020-03-11 11:49:03.973800,10,55,20,6,5,2,1,1,2,0,0,0
2020-03-11 11:49:04.323800,10,43,87,7,5,2,1,1,2,0,0,0
2020-03-11 11:49:07.814000,10,43,87,7,5,3,1,1,2,0,0,0
2020-03-11 11:49:07.832000,10,55,20,7,5,3,2,1,2,0,0,0
2020-03-11 11:49:07.873000,10,49,53,7,5,3,2,1,2,0,1,0
2020-03-11 11:49:42.543000,10,26,66,7,6,3,2,1,2,0,1,0
2020-03-11 11:49:45.243100,10,73,54,8,6,3,2,1,2,0,1,0
2020-03-11 11:49:45.977200,10,16,43,8,7,3,2,1,2,0,1,0
2020-03-11 11:49:47.310200,10,16,43,8,8,3,2,1,2,0,1,0
2020-03-11 11:49:50.043400,10,16,43,8,9,3,2,1,2,0,1,0
2020-03-11 11:49:51.643500,10,16,43,8,10,3,2,1,2,0,1,0
2020-03-11 11:49:52.093500,10,73,54,9,10,3,2,1,2,0,1,0
2020-03-11 11:49:54.276600,10,26,66,9,11,3,2,1,2,0,1,0
2020-03-11 11:49:57.784800,10,26,66,9,11,3,3,1,2,0,1,0
2020-03-11 11:49:59.714000,10,29,68,9,11,3,3,2,2,0,1,0
2020-03-11 11:50:25.246400,10,49,53,9,11,3,3,2,2,0,1,1
2020-03-11 11:50:30.730700,10,16,43,9,12,3,3,2,2,0,1,1
2020-03-11 11:50:40.330300,10,43,87,9,13,3,3,2,2,0,1,1
2020-03-11 11:50:43.130400,10,63,69,9,14,3,3,2,2,0,1,1
2020-03-11 11:50:44.797500,10,73,54,9,15,3,3,2,2,0,1,1
2020-03-11 11:50:48.014700,10,16,43,10,15,3,3,2,2,0,1,1
2020-03-11 11:50:49.297800,10,63,69,10,16,3,3,2,2,0,1,1
2020-03-11 11:50:52.808000,10,16,43,10,16,4,3,2,2,0,1,1
2020-03-11 11:50:54.716100,10,53,55,10,16,4,3,2,3,0,1,1
2020-03-11 11:50:58.365300,10,43,87,11,16,4,3,2,3,0,1,1
2020-03-11 11:50:59.831400,10,63,69,11,17,4,3,2,3,0,1,1
2020-03-11 11:51:01.599500,10,43,87,12,17,4,3,2,3,0,1,1
2020-03-11 11:51:03.682600,10,63,69,12,18,4,3,2,3,0,1,1
2020-03-11 11:51:06.066700,10,63,69,12,19,4,3,2,3,0,1,1
2020-03-11 11:51:07.549800,10,43,87,13,19,4,3,2,3,0,1,1
2020-03-11 11:51:09.049900,10,73,54,13,20,4,3,2,3,0,1,1
2020-03-11 11:51:11.833100,10,63,69,14,20,4,3,2,3,0,1,1
2020-03-11 11:51:14.750200,10,73,54,14,21,4,3,2,3,0,1,1
2020-03-11 11:51:16.916400,10,73,54,14,22,4,3,2,3,0,1,1
2020-03-11 11:51:19.183500,10,63,69,14,23,4,3,2,3,0,1,1
2020-03-11 11:51:24.200800,10,16,43,14,24,4,3,2,3,0,1,1
2020-03-11 11:51:25.817900,10,16,43,15,24,4,3,2,3,0,1,1
2020-03-11 11:51:29.307100,10,16,43,15,24,5,3,2,3,0,1,1
2020-03-11 11:51:31.285200,10,23,48,15,24,5,3,2,4,0,1,1
2020-03-11 11:52:06.336200,10,43,87,15,25,5,3,2,4,0,1,1
2020-03-11 11:52:09.353400,10,43,87,15,26,5,3,2,4,0,1,1
2020-03-11 11:52:14.737700,10,63,69,16,26,5,3,2,4,0,1,1
2020-03-11 11:52:18.137900,10,63,69,17,26,5,3,2,4,0,1,1
2020-03-11 11:52:19.103900,10,73,54,18,26,5,3,2,4,0,1,1
2020-03-11 11:52:20.905000,10,43,87,18,27,5,3,2,4,0,1,1
2020-03-11 11:52:22.605100,10,43,87,18,28,5,3,2,4,0,1,1
2020-03-11 11:52:26.111300,10,73,54,18,28,6,3,2,4,0,1,1
2020-03-11 11:52:27.805400,10,44,73,18,28,6,3,2,5,0,1,1
2020-03-11 11:52:27.809400,10,150,150,18,28,6,3,2,6,0,1,1
2020-03-11 11:52:30.422600,10,44,77,18,28,6,3,2,7,0,1,1
2020-03-11 11:53:15.225100,10,63,69,19,28,6,3,2,7,0,1,1
2020-03-11 11:53:16.924200,10,63,69,20,28,6,3,2,7,0,1,1
2020-03-11 11:53:20.416400,10,63,69,20,28,7,3,2,7,0,1,1
2020-03-11 11:53:22.326500,10,43,53,20,28,7,3,2,8,0,1,1
2020-03-11 11:54:00.978800,10,16,43,20,29,7,3,2,8,0,1,1
2020-03-11 11:54:01.211800,10,43,87,21,29,7,3,2,8,0,1,1
2020-03-11 11:54:04.700000,10,43,87,21,29,8,3,2,8,0,1,1
2020-03-11 11:54:06.513100,10,26,66,21,30,8,3,2,8,0,1,1
2020-03-11 11:54:10.002300,10,26,66,21,30,8,4,2,8,0,1,1
2020-03-11 11:54:11.649400,10,61,72,21,30,8,4,2,9,0,1,1
2020-03-11 11:54:20.496900,10,55,20,21,31,8,4,2,9,0,1,1
2020-03-11 11:54:28.597300,10,16,43,21,32,8,4,2,9,0,1,1
2020-03-11 11:54:29.797400,10,16,43,21,33,8,4,2,9,0,1,1
2020-03-11 11:54:43.732200,10,73,54,21,34,8,4,2,9,0,1,1
2020-03-11 11:54:49.015500,10,43,87,22,34,8,4,2,9,0,1,1
2020-03-11 11:54:49.032500,10,55,20,22,35,8,4,2,9,0,1,1
2020-03-11 11:54:53.232700,10,55,20,22,36,8,4,2,9,0,1,1
2020-03-11 11:54:54.598800,10,55,20,22,37,8,4,2,9,0,1,1
2020-03-11 11:54:56.498900,10,55,20,22,38,8,4,2,9,0,1,1
2020-03-11 11:56:00.487600,10,35,12,22,39,8,4,2,9,0,1,1
2020-03-11 11:56:01.053600,10,35,12,22,40,8,4,2,9,0,1,1
2020-03-11 11:56:08.406000,10,78,38,22,41,8,4,2,9,0,1,1
2020-03-11 11:56:13.073300,10,62,81,23,41,8,4,2,9,0,1,1
2020-03-11 11:56:14.105400,10,78,38,23,42,8,4,2,9,0,1,1
2020-03-11 11:56:17.625600,10,62,81,23,42,9,4,2,9,0,1,1
2020-03-11 11:56:19.289700,10,78,38,23,43,9,4,2,9,0,1,1
2020-03-11 11:56:20.410700,10,82,44,23,43,9,4,2,10,0,1,1
2020-03-11 11:56:21.939800,10,16,62,24,43,9,4,2,10,0,1,1
2020-03-11 11:56:31.590400,10,78,38,25,43,9,4,2,10,0,1,1
2020-03-11 11:56:32.140400,10,78,38,26,43,9,4,2,10,0,1,1
2020-03-11 11:56:42.808000,10,16,62,26,44,9,4,2,10,0,1,1
2020-03-11 11:56:44.691100,10,38,75,26,45,9,4,2,10,0,1,1
2020-03-11 11:56:50.642500,10,38,75,26,46,9,4,2,10,0,1,1
2020-03-11 11:56:54.131700,10,38,75,26,46,9,5,2,10,0,1,1
2020-03-11 11:56:55.543700,10,37,73,26,46,9,5,3,10,0,1,1
2020-03-11 11:57:14.459800,10,16,62,26,47,9,5,3,10,0,1,1
2020-03-11 11:57:15.009800,10,16,62,27,47,9,5,3,10,0,1,1
2020-03-11 11:57:22.827300,10,16,62,28,47,9,5,3,10,0,1,1
2020-03-11 11:57:24.894400,10,78,38,28,48,9,5,3,10,0,1,1
2020-03-11 11:57:35.662000,10,16,62,28,49,9,5,3,10,0,1,1
2020-03-11 11:57:47.362700,10,35,12,28,50,9,5,3,10,0,1,1
2020-03-11 11:57:52.930000,10,35,12,28,51,9,5,3,10,0,1,1
2020-03-11 11:57:53.330000,10,35,12,29,51,9,5,3,10,0,1,1
2020-03-11 11:57:56.819200,10,35,12,29,51,10,5,3,10,0,1,1
2020-03-11 11:57:58.014300,10,32,17,29,51,10,5,3,11,0,1,1
