Time,Trial,Event,Player.Color,Position.X,Position.Y,Planet.Id,WhiteHole.Interaction.BluePlayer,WhiteHole.Interaction.RedPlayer,Planet.Interaction.BluePlayer,Planet.Interaction.RedPlayer,Asteroid.Interaction.BluePlayer,Asteroid.Interaction.RedPlayer
2020-03-11 12:01:05.443800,11,Start,,,,,0,0,0,0,0,0
2020-03-11 12:01:10.977200,11,WhiteHole.SinglePlayer.Touch,Blue Player,44.0,12.0,,1,0,0,0,0,0
2020-03-11 12:01:14.484400,11,WhiteHole.SinglePlayer.Trigger,Blue Player,44.0,12.0,,1,0,0,0,0,0
2020-03-11 12:01:14.494400,11,,,,,,0,0,0,0,0,0
2020-03-11 12:01:22.326800,11,WhiteHole.SinglePlayer.Touch,Red Player,24.0,53.0,,0,1,0,0,0,0
2020-03-11 12:01:23.526900,11,WhiteHole.SinglePlayer.Exit,Red Player,24.0,53.0,,0,1,0,0,0,0
2020-03-11 12:01:23.536900,11,,,,,,0,0,0,0,0,0
2020-03-11 12:01:26.675100,11,Planet.Creation,Red Player,52.0,61.0,5776.0,0,0,0,0,0,0
2020-03-11 12:01:26.679100,11,Planet.Creation,Red Player,150.0,150.0,5828.0,0,0,0,0,0,0
2020-03-11 12:01:34.044500,11,WhiteHole.SinglePlayer.Touch,Red Player,81.0,45.0,,0,1,0,0,0,0
2020-03-11 12:01:35.627600,11,WhiteHole.SinglePlayer.Exit,Red Player,81.0,45.0,,0,1,0,0,0,0
2020-03-11 12:01:35.637600,11,,,,,,0,0,0,0,0,0
2020-03-11 12:01:53.995600,11,WhiteHole.SinglePlayer.Touch,Red Player,54.0,79.0,,0,1,0,0,0,0
2020-03-11 12:01:55.178700,11,WhiteHole.SinglePlayer.Exit,Red Player,54.0,79.0,,0,1,0,0,0,0
2020-03-11 12:01:55.188700,11,,,,,,0,0,0,0,0,0
2020-03-11 12:02:24.964400,11,WhiteHole.SinglePlayer.Touch,Red Player,24.0,53.0,,0,1,0,0,0,0
2020-03-11 12:02:26.381500,11,WhiteHole.SinglePlayer.Exit,Red Player,24.0,53.0,,0,1,0,0,0,0
2020-03-11 12:02:26.391500,11,,,,,,0,0,0,0,0,0
2020-03-11 12:02:26.664500,11,WhiteHole.SinglePlayer.Touch,Red Player,24.0,53.0,,0,1,0,0,0,0
2020-03-11 12:02:27.098500,11,WhiteHole.SinglePlayer.Exit,Red Player,24.0,53.0,,0,1,0,0,0,0
2020-03-11 12:02:27.108500,11,,,,,,0,0,0,0,0,0
2020-03-11 12:02:31.148700,11,WhiteHole.SinglePlayer.Touch,Red Player,81.0,45.0,,0,1,0,0,0,0
2020-03-11 12:02:32.498800,11,WhiteHole.SinglePlayer.Exit,Red Player,81.0,45.0,,0,1,0,0,0,0
2020-03-11 12:02:32.508800,11,,,,,,0,0,0,0,0,0
2020-03-11 12:02:43.149400,11,WhiteHole.SinglePlayer.Touch,Blue Player,54.0,79.0,,1,0,0,0,0,0
2020-03-11 12:02:43.616500,11,WhiteHole.SinglePlayer.Exit,Blue Player,54.0,79.0,,1,0,0,0,0,0
2020-03-11 12:02:43.626500,11,,,,,,0,0,0,0,0,0
2020-03-11 12:02:44.249500,11,WhiteHole.SinglePlayer.Touch,Blue Player,54.0,79.0,,1,0,0,0,0,0
2020-03-11 12:02:44.482500,11,WhiteHole.SinglePlayer.Exit,Blue Player,54.0,79.0,,1,0,0,0,0,0
2020-03-11 12:02:44.492500,11,,,,,,0,0,0,0,0,0
2020-03-11 12:02:45.766600,11,WhiteHole.SinglePlayer.Touch,Blue Player,54.0,79.0,,1,0,0,0,0,0
2020-03-11 12:02:46.449600,11,WhiteHole.SinglePlayer.Exit,Blue Player,54.0,79.0,,1,0,0,0,0,0
2020-03-11 12:02:46.459600,11,,,,,,0,0,0,0,0,0
2020-03-11 12:03:01.184500,11,WhiteHole.SinglePlayer.Touch,Blue Player,27.0,79.0,,1,0,0,0,0,0
2020-03-11 12:03:01.667500,11,WhiteHole.SinglePlayer.Exit,Blue Player,27.0,79.0,,1,0,0,0,0,0
2020-03-11 12:03:01.677500,11,,,,,,0,0,0,0,0,0
2020-03-11 12:03:01.917500,11,WhiteHole.SinglePlayer.Touch,Blue Player,27.0,79.0,,1,0,0,0,0,0
2020-03-11 12:03:04.383700,11,WhiteHole.SinglePlayer.Exit,Blue Player,27.0,79.0,,1,0,0,0,0,0
2020-03-11 12:03:04.393700,11,,,,,,0,0,0,0,0,0
2020-03-11 12:03:04.834700,11,WhiteHole.SinglePlayer.Touch,Blue Player,27.0,79.0,,1,0,0,0,0,0
2020-03-11 12:03:06.516800,11,WhiteHole.SinglePlayer.Exit,Blue Player,27.0,79.0,,1,0,0,0,0,0
2020-03-11 12:03:06.526800,11,,,,,,0,0,0,0,0,0
2020-03-11 12:03:08.300900,11,WhiteHole.SinglePlayer.Touch,Blue Player,27.0,79.0,,1,0,0,0,0,0
2020-03-11 12:03:09.200900,11,WhiteHole.SinglePlayer.Exit,Blue Player,27.0,79.0,,1,0,0,0,0,0
