Time,Trial,Event,Player.Color,Position.X,Position.Y,Planet.Id,WhiteHole.Interaction.BluePlayer,WhiteHole.Interaction.RedPlayer,Planet.Interaction.BluePlayer,Planet.Interaction.RedPlayer,Asteroid.Interaction.BluePlayer,Asteroid.Interaction.RedPlayer
2020-03-11 10:05:24.569600,3,Start,,,,,0,0,0,0,0,0
2020-03-11 10:05:38.107400,3,WhiteHole.SinglePlayer.Touch,Blue Player,89.0,55.0,,1,0,0,0,0,0
2020-03-11 10:05:38.507400,3,WhiteHole.SinglePlayer.Exit,Blue Player,89.0,55.0,,1,0,0,0,0,0
2020-03-11 10:05:38.517400,3,,,,,,0,0,0,0,0,0
2020-03-11 10:05:41.607600,3,WhiteHole.SinglePlayer.Touch,Red Player,54.0,20.0,,0,1,0,0,0,0
2020-03-11 10:05:43.489700,3,WhiteHole.SinglePlayer.Exit,Red Player,54.0,20.0,,0,1,0,0,0,0
2020-03-11 10:05:43.499700,3,,,,,,0,0,0,0,0,0
2020-03-11 10:05:44.256800,3,WhiteHole.SinglePlayer.Touch,Blue Player,54.0,20.0,,1,0,0,0,0,0
2020-03-11 10:05:46.623900,3,WhiteHole.SinglePlayer.Exit,Blue Player,54.0,20.0,,1,0,0,0,0,0
2020-03-11 10:05:46.633900,3,,,,,,0,0,0,0,0,0
2020-03-11 10:05:56.758500,3,WhiteHole.SinglePlayer.Touch,Red Player,24.0,46.0,,0,1,0,0,0,0
2020-03-11 10:05:58.775600,3,WhiteHole.SinglePlayer.Touch,Blue Player,89.0,55.0,,1,1,0,0,0,0
2020-03-11 10:06:00.208700,3,WhiteHole.SinglePlayer.Exit,Red Player,24.0,46.0,,1,1,0,0,0,0
2020-03-11 10:06:00.218700,3,,,,,,1,0,0,0,0,0
2020-03-11 10:06:00.958700,3,WhiteHole.SinglePlayer.Exit,Blue Player,89.0,55.0,,1,0,0,0,0,0
2020-03-11 10:06:00.968700,3,,,,,,0,0,0,0,0,0
2020-03-11 10:06:04.758900,3,WhiteHole.SinglePlayer.Touch,Red Player,45.0,85.0,,0,1,0,0,0,0
2020-03-11 10:06:06.459000,3,WhiteHole.SinglePlayer.Exit,Red Player,45.0,85.0,,0,1,0,0,0,0
2020-03-11 10:06:06.469000,3,,,,,,0,0,0,0,0,0
2020-03-11 10:06:11.959400,3,WhiteHole.SinglePlayer.Touch,Blue Player,24.0,46.0,,1,0,0,0,0,0
2020-03-11 10:06:14.809500,3,WhiteHole.SinglePlayer.Exit,Blue Player,24.0,46.0,,1,0,0,0,0,0
2020-03-11 10:06:14.819500,3,,,,,,0,0,0,0,0,0
2020-03-11 10:06:15.926600,3,WhiteHole.SinglePlayer.Touch,Red Player,89.0,55.0,,0,1,0,0,0,0
2020-03-11 10:06:18.442700,3,WhiteHole.SinglePlayer.Exit,Red Player,89.0,55.0,,0,1,0,0,0,0
2020-03-11 10:06:18.452700,3,,,,,,0,0,0,0,0,0
2020-03-11 10:06:18.592700,3,WhiteHole.SinglePlayer.Touch,Blue Player,54.0,20.0,,1,0,0,0,0,0
2020-03-11 10:06:21.542900,3,WhiteHole.SinglePlayer.Exit,Blue Player,54.0,20.0,,1,0,0,0,0,0
2020-03-11 10:06:21.552900,3,,,,,,0,0,0,0,0,0
2020-03-11 10:06:30.927400,3,WhiteHole.SinglePlayer.Touch,Red Player,54.0,20.0,,0,1,0,0,0,0
2020-03-11 10:06:34.419600,3,WhiteHole.SinglePlayer.Trigger,Red Player,54.0,20.0,,0,1,0,0,0,0
2020-03-11 10:06:34.429600,3,,,,,,0,0,0,0,0,0
2020-03-11 10:06:35.744700,3,WhiteHole.SinglePlayer.Touch,Blue Player,45.0,85.0,,1,0,0,0,0,0
2020-03-11 10:06:37.144800,3,WhiteHole.SinglePlayer.Exit,Blue Player,45.0,85.0,,1,0,0,0,0,0
2020-03-11 10:06:37.154800,3,,,,,,0,0,0,0,0,0
2020-03-11 10:06:37.411800,3,WhiteHole.SinglePlayer.Touch,Blue Player,45.0,85.0,,1,0,0,0,0,0
2020-03-11 10:06:37.488800,3,Planet.Creation,Blue Player,51.0,77.0,5764.0,1,0,0,0,0,0
