Time,Trial,Event,Player.Color,Position.X,Position.Y,Planet.Id
2020-03-11 11:04:37.015500,7,Start,,,,
2020-03-11 11:04:52.716400,7,WhiteHole.SinglePlayer.Touch,Red Player,58.0,72.0,
2020-03-11 11:04:55.232600,7,WhiteHole.SinglePlayer.Exit,Red Player,58.0,72.0,
2020-03-11 11:04:55.997600,7,WhiteHole.SinglePlayer.Touch,Red Player,58.0,72.0,
2020-03-11 11:04:56.547700,7,WhiteHole.SinglePlayer.Exit,Red Player,58.0,72.0,
2020-03-11 11:04:57.547700,7,WhiteHole.SinglePlayer.Touch,Red Player,58.0,72.0,
2020-03-11 11:04:59.948900,7,WhiteHole.SinglePlayer.Exit,Red Player,58.0,72.0,
2020-03-11 11:05:04.349100,7,WhiteHole.SinglePlayer.Touch,Red Player,42.0,31.0,
2020-03-11 11:05:07.116300,7,WhiteHole.SinglePlayer.Exit,Red Player,42.0,31.0,
2020-03-11 11:05:22.866200,7,WhiteHole.SinglePlayer.Touch,Blue Player,58.0,72.0,
2020-03-11 11:05:26.358400,7,WhiteHole.SinglePlayer.Trigger,Blue Player,58.0,72.0,
2020-03-11 11:05:27.950500,7,WhiteHole.SinglePlayer.Touch,Red Player,30.0,65.0,
2020-03-11 11:05:28.600500,7,WhiteHole.SinglePlayer.Touch,Red Player,26.0,58.0,
2020-03-11 11:05:28.716500,7,WhiteHole.SinglePlayer.Exit,Red Player,30.0,65.0,
2020-03-11 11:05:28.983500,7,WhiteHole.SinglePlayer.Touch,Red Player,30.0,65.0,
2020-03-11 11:05:29.200500,7,WhiteHole.SinglePlayer.Exit,Red Player,26.0,58.0,
2020-03-11 11:05:32.474700,7,WhiteHole.SinglePlayer.Trigger,Red Player,30.0,65.0,
2020-03-11 11:05:34.917900,7,WhiteHole.SinglePlayer.Touch,Blue Player,42.0,31.0,
2020-03-11 11:05:36.101900,7,WhiteHole.SinglePlayer.Touch,Red Player,26.0,58.0,
2020-03-11 11:05:36.462900,7,Planet.Creation,Red Player,31.0,50.0,5960.0
2020-03-11 11:05:36.570900,7,Planet.Creation,Blue Player,44.0,37.0,6012.0
2020-03-11 11:05:36.584900,7,WhiteHole.SinglePlayer.Exit,Red Player,26.0,58.0,
2020-03-11 11:05:38.424100,7,WhiteHole.SinglePlayer.Trigger,Blue Player,42.0,31.0,
2020-03-11 11:05:38.575100,7,Planet.SinglePlayer.Connection,Blue Player,39.0,33.0,6012.0
2020-03-11 11:05:53.585900,7,WhiteHole.SinglePlayer.Touch,Red Player,26.0,58.0,
2020-03-11 11:05:55.269000,7,WhiteHole.SinglePlayer.Exit,Red Player,26.0,58.0,
2020-03-11 11:05:55.920100,7,WhiteHole.SinglePlayer.Touch,Red Player,26.0,58.0,
2020-03-11 11:05:56.586100,7,WhiteHole.SinglePlayer.Exit,Red Player,26.0,58.0,
2020-03-11 11:05:57.422100,7,Planet.Creation,Red Player,41.0,46.0,6214.0
2020-03-11 11:05:58.803200,7,WhiteHole.SinglePlayer.Touch,Blue Player,26.0,58.0,
2020-03-11 11:06:00.084300,7,WhiteHole.SinglePlayer.Exit,Blue Player,26.0,58.0,
2020-03-11 11:06:00.169300,7,WhiteHole.SinglePlayer.Touch,Blue Player,26.0,58.0,
2020-03-11 11:06:00.409300,7,Planet.SinglePlayer.Exit,Blue Player,34.0,49.0,6012.0
2020-03-11 11:06:01.536400,7,WhiteHole.SinglePlayer.Exit,Blue Player,26.0,58.0,
2020-03-11 11:06:02.619400,7,WhiteHole.SinglePlayer.Touch,Blue Player,26.0,58.0,
2020-03-11 11:06:02.886500,7,WhiteHole.SinglePlayer.Exit,Blue Player,26.0,58.0,
2020-03-11 11:06:03.720500,7,WhiteHole.SinglePlayer.Touch,Blue Player,26.0,58.0,
2020-03-11 11:06:07.209700,7,WhiteHole.SinglePlayer.Trigger,Blue Player,26.0,58.0,
2020-03-11 11:06:08.822800,7,Planet.Creation,Red Player,49.0,47.0,6484.0
2020-03-11 11:06:09.194800,7,Planet.SinglePlayer.Connection,Red Player,47.0,47.0,6214.0
2020-03-11 11:06:10.544900,7,Planet.SinglePlayer.Exit,Red Player,40.0,49.0,6214.0
2020-03-11 11:06:13.710100,7,Planet.SinglePlayer.Connection,Blue Player,25.0,53.0,5960.0
2020-03-11 11:06:24.177700,7,Planet.SinglePlayer.Exit,Blue Player,24.0,51.0,5960.0
2020-03-11 11:06:52.932300,7,Asteroid.SinglePlayer.Connection,Red Player,60.0,55.0,
2020-03-11 11:07:01.663800,7,Asteroid.SinglePlayer.Exit,Red Player,48.0,49.0,
2020-03-11 11:07:01.848800,7,Asteroid.SinglePlayer.Connection,Blue Player,47.0,48.0,
2020-03-11 11:07:05.098000,7,Asteroid.SinglePlayer.Connection,Red Player,40.0,53.0,
2020-03-11 11:07:05.208000,7,Asteroid.SinglePlayer.Exit,Red Player,40.0,53.0,
2020-03-11 11:07:05.246000,7,Asteroid.SinglePlayer.Exit,Blue Player,34.0,52.0,
2020-03-11 11:07:22.659000,7,WhiteHole.SinglePlayer.Touch,Red Player,78.0,39.0,
2020-03-11 11:07:22.697000,7,Asteroid.SinglePlayer.Connection,Red Player,73.0,41.0,
2020-03-11 11:07:24.575100,7,WhiteHole.SinglePlayer.Exit,Red Player,78.0,39.0,
2020-03-11 11:07:27.576300,7,WhiteHole.SinglePlayer.Touch,Blue Player,58.0,72.0,
2020-03-11 11:07:30.033400,7,Asteroid.SinglePlayer.Exit,Red Player,50.0,33.0,
2020-03-11 11:07:30.109400,7,WhiteHole.SinglePlayer.Exit,Blue Player,58.0,72.0,
2020-03-11 11:07:30.476500,7,WhiteHole.SinglePlayer.Touch,Blue Player,58.0,72.0,
2020-03-11 11:07:32.682600,7,Asteroid.SinglePlayer.Connection,Red Player,44.0,33.0,
2020-03-11 11:07:32.942600,7,WhiteHole.SinglePlayer.Exit,Blue Player,58.0,72.0,
2020-03-11 11:07:34.276700,7,WhiteHole.SinglePlayer.Touch,Blue Player,84.0,65.0,
2020-03-11 11:07:36.259800,7,WhiteHole.SinglePlayer.Exit,Blue Player,84.0,65.0,
2020-03-11 11:07:36.959800,7,WhiteHole.SinglePlayer.Touch,Blue Player,78.0,39.0,
2020-03-11 11:07:37.943900,7,WhiteHole.SinglePlayer.Exit,Blue Player,78.0,39.0,
2020-03-11 11:07:38.034900,7,Asteroid.SinglePlayer.Exit,Red Player,34.0,43.0,
2020-03-11 11:07:38.809900,7,WhiteHole.SinglePlayer.Touch,Blue Player,62.0,21.0,
2020-03-11 11:07:38.942900,7,WhiteHole.SinglePlayer.Exit,Blue Player,62.0,21.0,
2020-03-11 11:07:41.918100,7,Planet.SinglePlayer.Connection,Red Player,25.0,54.0,5960.0
2020-03-11 11:08:04.278400,7,WhiteHole.SinglePlayer.Touch,Red Player,58.0,72.0,
2020-03-11 11:08:07.244600,7,WhiteHole.SinglePlayer.Exit,Red Player,58.0,72.0,
2020-03-11 11:08:37.230300,7,WhiteHole.SinglePlayer.Touch,Red Player,58.0,72.0,
2020-03-11 11:08:38.447300,7,WhiteHole.SinglePlayer.Exit,Red Player,58.0,72.0,
2020-03-11 11:08:55.671300,7,Planet.SinglePlayer.Exit,Red Player,31.0,53.0,5960.0
2020-03-11 11:09:09.650100,7,WhiteHole.SinglePlayer.Touch,Blue Player,78.0,39.0,
2020-03-11 11:09:12.416300,7,WhiteHole.SinglePlayer.Exit,Blue Player,78.0,39.0,
2020-03-11 11:09:14.850400,7,WhiteHole.SinglePlayer.Touch,Blue Player,84.0,65.0,
2020-03-11 11:09:15.183400,7,WhiteHole.SinglePlayer.Exit,Blue Player,84.0,65.0,
2020-03-11 11:09:16.783500,7,WhiteHole.SinglePlayer.Touch,Blue Player,84.0,65.0,
2020-03-11 11:09:18.416600,7,WhiteHole.SinglePlayer.Exit,Blue Player,84.0,65.0,
2020-03-11 11:09:19.200700,7,WhiteHole.SinglePlayer.Touch,Blue Player,58.0,72.0,
2020-03-11 11:09:21.299800,7,WhiteHole.SinglePlayer.Exit,Blue Player,58.0,72.0,
2020-03-11 11:10:17.128000,7,Planet.SinglePlayer.Connection,Blue Player,29.0,63.0,6484.0
2020-03-11 11:10:20.062200,7,Planet.SinglePlayer.Exit,Blue Player,25.0,59.0,6484.0
2020-03-11 11:10:20.127200,7,Planet.SinglePlayer.Connection,Red Player,61.0,44.0,5960.0
2020-03-11 11:10:23.111300,7,Planet.SinglePlayer.Connection,Blue Player,28.0,61.0,6484.0
2020-03-11 11:10:24.462400,7,Planet.SinglePlayer.Exit,Red Player,56.0,43.0,5960.0
2020-03-11 11:10:28.562600,7,Planet.SinglePlayer.Connection,Red Player,53.0,37.0,5960.0
2020-03-11 11:10:29.694700,7,Planet.SinglePlayer.Exit,Red Player,56.0,43.0,5960.0
2020-03-11 11:10:43.578500,7,Planet.SinglePlayer.Exit,Blue Player,43.0,55.0,6484.0
2020-03-11 11:10:44.062500,7,Planet.SinglePlayer.Connection,Red Player,60.0,38.0,5960.0
2020-03-11 11:10:44.511600,7,Planet.SinglePlayer.Exit,Red Player,56.0,43.0,5960.0
2020-03-11 11:10:48.023800,7,WhiteHole.SinglePlayer.Touch,Red Player,78.0,39.0,
2020-03-11 11:10:48.656800,7,WhiteHole.SinglePlayer.Exit,Red Player,78.0,39.0,
2020-03-11 11:10:54.707100,7,WhiteHole.SinglePlayer.Touch,Blue Player,58.0,72.0,
2020-03-11 11:10:56.857300,7,WhiteHole.SinglePlayer.Exit,Blue Player,58.0,72.0,
2020-03-11 11:11:36.460500,7,WhiteHole.SinglePlayer.Touch,Red Player,58.0,72.0,
2020-03-11 11:11:36.693500,7,WhiteHole.SinglePlayer.Exit,Red Player,58.0,72.0,
2020-03-11 11:11:42.115900,7,Planet.SinglePlayer.Connection,Blue Player,39.0,58.0,6484.0
2020-03-11 11:11:50.566300,7,Planet.SinglePlayer.Exit,Blue Player,41.0,57.0,6484.0
2020-03-11 11:11:53.378500,7,WhiteHole.SinglePlayer.Touch,Blue Player,78.0,39.0,
2020-03-11 11:11:53.911500,7,WhiteHole.SinglePlayer.Exit,Blue Player,78.0,39.0,
2020-03-11 11:11:54.028500,7,WhiteHole.SinglePlayer.Touch,Blue Player,78.0,39.0,
2020-03-11 11:11:54.278500,7,WhiteHole.SinglePlayer.Touch,Red Player,58.0,72.0,
2020-03-11 11:11:55.878600,7,WhiteHole.SinglePlayer.Exit,Blue Player,78.0,39.0,
2020-03-11 11:11:55.978600,7,WhiteHole.SinglePlayer.Exit,Red Player,58.0,72.0,
2020-03-11 11:11:56.428700,7,WhiteHole.SinglePlayer.Touch,Red Player,58.0,72.0,
2020-03-11 11:11:57.344700,7,WhiteHole.SinglePlayer.Touch,Blue Player,62.0,21.0,
2020-03-11 11:12:00.261900,7,WhiteHole.SinglePlayer.Exit,Blue Player,62.0,21.0,
2020-03-11 11:12:00.850900,7,WhiteHole.SinglePlayer.Trigger,Red Player,58.0,72.0,
2020-03-11 11:12:11.346500,7,WhiteHole.SinglePlayer.Touch,Red Player,78.0,39.0,
2020-03-11 11:12:11.362500,7,WhiteHole.SinglePlayer.Touch,Blue Player,62.0,21.0,
2020-03-11 11:12:12.362600,7,WhiteHole.SinglePlayer.Exit,Blue Player,62.0,21.0,
2020-03-11 11:12:14.868700,7,WhiteHole.SinglePlayer.Trigger,Red Player,78.0,39.0,
2020-03-11 11:12:18.547900,7,Planet.Creation,Blue Player,44.0,47.0,7762.0
2020-03-11 11:12:25.447300,7,WhiteHole.SinglePlayer.Touch,Red Player,62.0,21.0,
2020-03-11 11:12:28.936500,7,WhiteHole.SinglePlayer.Trigger,Red Player,62.0,21.0,
2020-03-11 11:12:31.298700,7,WhiteHole.SinglePlayer.Touch,Red Player,21.0,37.0,
2020-03-11 11:12:33.531800,7,WhiteHole.SinglePlayer.Touch,Blue Player,84.0,65.0,
2020-03-11 11:12:37.021000,7,WhiteHole.SinglePlayer.Trigger,Blue Player,84.0,65.0,
2020-03-11 11:12:37.038000,7,WhiteHole.SinglePlayer.Trigger,Red Player,21.0,37.0,
2020-03-11 11:12:37.052000,7,WhiteHole.MultiPlayer.Trigger,,52.0,51.0,
2020-03-11 11:12:44.299400,7,Planet.Creation,Blue Player,76.0,39.0,8544.0
2020-03-11 11:12:44.332400,7,WhiteHole.SinglePlayer.Touch,Blue Player,78.0,39.0,
2020-03-11 11:12:47.822600,7,WhiteHole.SinglePlayer.Trigger,Blue Player,78.0,39.0,
2020-03-11 11:12:51.100800,7,Planet.Creation,Red Player,34.0,43.0,8856.0
2020-03-11 11:12:53.105900,7,Planet.SinglePlayer.Connection,Red Player,35.0,41.0,8856.0
2020-03-11 11:12:54.822000,7,Planet.SinglePlayer.Exit,Red Player,34.0,43.0,8856.0
2020-03-11 11:12:57.400200,7,WhiteHole.SinglePlayer.Touch,Blue Player,58.0,72.0,
2020-03-11 11:13:00.133300,7,WhiteHole.SinglePlayer.Touch,Red Player,21.0,37.0,
2020-03-11 11:13:03.638500,7,WhiteHole.SinglePlayer.Trigger,Red Player,21.0,37.0,
2020-03-11 11:13:03.655500,7,WhiteHole.SinglePlayer.Trigger,Blue Player,58.0,72.0,
2020-03-11 11:13:03.667500,7,WhiteHole.MultiPlayer.Trigger,,40.0,54.0,
2020-03-11 11:13:09.739900,7,Asteroid.SinglePlayer.Connection,Blue Player,62.0,58.0,
2020-03-11 11:13:15.168200,7,WhiteHole.SinglePlayer.Touch,Blue Player,84.0,65.0,
