Time,Player.Color,Position.X,Position.Y,Pos
2020/03/11 09:35:27.6396,Red Player,39,49,(39+49j)
2020/03/11 09:35:27.6486,Blue Player,29,53,(29+53j)
2020/03/11 09:35:27.8726,Red Player,41,48,(41+48j)
2020/03/11 09:35:27.8736,Blue Player,28,53,(28+53j)
2020/03/11 09:35:27.8766,Red Player,41,48,(41+48j)
2020/03/11 09:35:27.8786,Blue Player,28,53,(28+53j)
2020/03/11 09:35:27.8926,Red Player,41,48,(41+48j)
2020/03/11 09:35:27.8946,Blue Player,28,53,(28+53j)
2020/03/11 09:35:27.9086,Red Player,41,48,(41+48j)
2020/03/11 09:35:27.9116,Blue Player,28,53,(28+53j)
2020/03/11 09:35:27.9276,Red Player,41,48,(41+48j)
2020/03/11 09:35:27.9296,Blue Player,28,53,(28+53j)
2020/03/11 09:35:27.9426,Red Player,41,48,(41+48j)
2020/03/11 09:35:27.9446,Blue Player,29,53,(29+53j)
2020/03/11 09:35:27.9586,Red Player,41,48,(41+48j)
2020/03/11 09:35:27.9606,Blue Player,29,53,(29+53j)
2020/03/11 09:35:27.9756,Red Player,41,48,(41+48j)
2020/03/11 09:35:27.9776,Blue Player,29,53,(29+53j)
2020/03/11 09:35:27.9926,Red Player,41,48,(41+48j)
2020/03/11 09:35:27.9946,Blue Player,29,53,(29+53j)
2020/03/11 09:35:28.0086,Red Player,41,48,(41+48j)
2020/03/11 09:35:28.0126,Blue Player,29,53,(29+53j)
2020/03/11 09:35:28.0256,Red Player,41,47,(41+47j)
2020/03/11 09:35:28.0286,Blue Player,29,53,(29+53j)
2020/03/11 09:35:28.0426,Red Player,41,47,(41+47j)
2020/03/11 09:35:28.0436,Blue Player,29,53,(29+53j)
2020/03/11 09:35:28.0586,Red Player,41,47,(41+47j)
2020/03/11 09:35:28.0616,Blue Player,30,53,(30+53j)
2020/03/11 09:35:28.0756,Red Player,41,47,(41+47j)
2020/03/11 09:35:28.0776,Blue Player,30,53,(30+53j)
2020/03/11 09:35:28.0926,Red Player,41,47,(41+47j)
2020/03/11 09:35:28.0946,Blue Player,30,53,(30+53j)
2020/03/11 09:35:28.1086,Red Player,41,47,(41+47j)
2020/03/11 09:35:28.1116,Blue Player,30,53,(30+53j)
2020/03/11 09:35:28.1286,Red Player,41,47,(41+47j)
2020/03/11 09:35:28.1316,Blue Player,30,52,(30+52j)
2020/03/11 09:35:28.1426,Red Player,41,47,(41+47j)
2020/03/11 09:35:28.1446,Blue Player,31,52,(31+52j)
2020/03/11 09:35:28.1596,Red Player,41,47,(41+47j)
2020/03/11 09:35:28.1616,Blue Player,31,52,(31+52j)
2020/03/11 09:35:28.1756,Red Player,41,47,(41+47j)
2020/03/11 09:35:28.1786,Blue Player,31,52,(31+52j)
2020/03/11 09:35:28.1916,Red Player,41,47,(41+47j)
2020/03/11 09:35:28.1946,Blue Player,31,52,(31+52j)
2020/03/11 09:35:28.2086,Red Player,41,46,(41+46j)
2020/03/11 09:35:28.2116,Blue Player,32,52,(32+52j)
2020/03/11 09:35:28.2256,Red Player,41,46,(41+46j)
2020/03/11 09:35:28.2286,Blue Player,32,52,(32+52j)
2020/03/11 09:35:28.2426,Red Player,41,46,(41+46j)
2020/03/11 09:35:28.2456,Blue Player,32,52,(32+52j)
2020/03/11 09:35:28.2586,Red Player,41,46,(41+46j)
2020/03/11 09:35:28.2616,Blue Player,32,52,(32+52j)
2020/03/11 09:35:28.2756,Red Player,41,46,(41+46j)
2020/03/11 09:35:28.2776,Blue Player,33,52,(33+52j)
2020/03/11 09:35:28.2926,Red Player,41,46,(41+46j)
2020/03/11 09:35:28.2946,Blue Player,33,52,(33+52j)
2020/03/11 09:35:28.3086,Red Player,41,46,(41+46j)
2020/03/11 09:35:28.3126,Blue Player,33,52,(33+52j)
2020/03/11 09:35:28.3256,Red Player,41,46,(41+46j)
2020/03/11 09:35:28.3286,Blue Player,33,52,(33+52j)
2020/03/11 09:35:28.3426,Red Player,41,45,(41+45j)
2020/03/11 09:35:28.3456,Blue Player,33,52,(33+52j)
2020/03/11 09:35:28.3586,Red Player,41,45,(41+45j)
2020/03/11 09:35:28.3616,Blue Player,33,52,(33+52j)
2020/03/11 09:35:28.3756,Red Player,41,45,(41+45j)
2020/03/11 09:35:28.3786,Blue Player,34,52,(34+52j)
2020/03/11 09:35:28.3916,Red Player,41,45,(41+45j)
2020/03/11 09:35:28.3956,Blue Player,34,51,(34+51j)
2020/03/11 09:35:28.4086,Red Player,41,45,(41+45j)
2020/03/11 09:35:28.4106,Blue Player,34,51,(34+51j)
2020/03/11 09:35:28.4256,Red Player,41,45,(41+45j)
2020/03/11 09:35:28.4276,Blue Player,34,51,(34+51j)
2020/03/11 09:35:28.4426,Red Player,41,45,(41+45j)
2020/03/11 09:35:28.4456,Blue Player,34,51,(34+51j)
2020/03/11 09:35:28.4586,Red Player,41,44,(41+44j)
2020/03/11 09:35:28.4626,Blue Player,34,50,(34+50j)
2020/03/11 09:35:28.4756,Red Player,41,44,(41+44j)
2020/03/11 09:35:28.4786,Blue Player,35,50,(35+50j)
2020/03/11 09:35:28.4916,Red Player,41,44,(41+44j)
2020/03/11 09:35:28.4946,Blue Player,35,50,(35+50j)
2020/03/11 09:35:28.5086,Red Player,41,44,(41+44j)
2020/03/11 09:35:28.5126,Blue Player,35,50,(35+50j)
